230,வாளின் முத்தம்,ரா.கி.ரங்கராஜன்,வானதி பதிப்பகம்,2001
231,கரிகால் சோழன்,ரா.நிரஞ்சனாதேவி,,
232,துளசிதாசர் முதல் மீராபாய் வரை,ரா.வேங்கடசாமி ,சூரியன் பதிப்பகம்,2013
233,மாமன்னன் உலா ,ராஜகுரு,கங்கை புத்தகநிலையம்,1994
234,அரக்கு மாளிகை,லட்சுமி,,225
235,இதோ ஒரு இதயம் ,லஷ்மி,,226
236,இளைய வேந்தன் ,வி.ராஜசேகர்,ஆர் ஆர் நிலையம்,2001
237,குலோத்துங்கன் சபதம்,விக்ரமன்,விக்ரமன் பதிப்பகம்,2002
238,உதய சந்திரன்,விக்ரமன்,வனிதா பதிப்பகம்,2004
239,கங்காபுரி காவலன் பாகம் - 1,விக்ரமன் ,வனிதா பதிப்பகம்,2006
240,கங்காபுரி காவலன் பாகம் - 2,விக்ரமன் ,வனிதா பதிப்பகம்,2006
241,கங்காபுரி காவலன் பாகம் - 3,விக்ரமன் ,வனிதா பதிப்பகம்,2006
242,கங்காபுரி காவலன் பாகம் - 1,விக்ரமன்,வனிதா பதிப்பகம்,2006
243,கங்காபுரி காவலன் பாகம் - 2,விக்ரமன்,வனிதா பதிப்பகம்,2006
244,சோழ இளவரசன் கனவு,விக்ரமன் ,,
245,சோழ மகுடம்,விக்ரமன்,வானதி பதிப்பகம்,1993
246,சோழ மகுடம் ,விக்ரமன் ,நிவேதிதா பதிப்பகம்,2007
247,தெற்குவாசல் மோகினி,விக்ரமன்,நிவேதிதா பதிப்பகம்,2007
248,நந்திபுரத்து நாயகி - 1,விக்ரமன் ,விக்ரமன் பதிப்பகம்,2001
249,நந்திபுரத்து நாயகி - 2,விக்ரமன் ,விக்ரமன் பதிப்பகம்,2001
250,நந்திபுரத்து நாயகி - 3,விக்ரமன் ,விக்ரமன் பதிப்பகம்,2001
251,பராந்தகன் மகள்,விக்ரமன்,விக்ரமன் பதிப்பகம்,2002
252,பாண்டிய மகுடம்,விக்ரமன்,சுவாதி பதிப்பகம்,2001
253,மாணிக்க வீணை,விக்ரமன் ,விக்ரமன் பதிப்பகம்,2003
254,மாறவர்மன் காதலி,விக்ரமன்,ஜம்பு பப்ளிகேசன்,2007
255,வந்திய தேவன் வாள்,விக்ரமன்,விக்ரமன் பதிப்பகம்,2007
256,வல்லது இளவரசி,விக்ரமன்,,
257,அசோகர்,வின்சென்ட் A . சுமத்,சந்தியா பதிப்பகம்,2009
258,மகுட வைரம்,விஸ்வக் சேனன்,வானதி பதிப்பகம்,2005
259,சேர சோழ பாண்டியன் ,வெங்கக்கடசாமி,வ உ சி நூலகம்,2005
260,வான வல்லி- 1,வெற்றி வேல் ,,
261,வான வல்லி- 2,வெற்றி வேல் ,,
262,வான வல்லி- 3,வெற்றி வேல் ,வானதி பதிப்பகம்,2016
263,வான வல்லி- 4,வெற்றி வேல் ,வானதி பதிப்பகம்,2016
264,நாகநந்தினி,வே.கபிலன்,குறள் நிலையம்,1976
265,நித்திலவல்லி ,வே.கபிலன்,தமிழன் நிலையம்,1995
266,பாண்டியன் திருமேனி ,வே.கபிலன்,திருமுருக நிலையம்,2000
267,பீலிவளை ,வே.கபிலன்,தமிழன் நிலையம்,1994
268,புலிநகம் ,வே.கபிலன்,வள்ளுவர் பண்ணை,1984
269,மதுராந்தகி ,வே.கபிலன்,தமிழன் நிலையம்,1996
270,மறவன் மகள் ,வே.கபிலன்,தமிழன் நிலையம்,2002
271,வில்லவன் கோதை ,வே.கபிலன்,அருணோதயம் பதிப்பகம்,2002
272,கொங்குத் திலகம்,வே.லக்ஷ்மணன்,திருவரசு புத்தகநிலையம்,2003
273,நீலவேணி - 1,வே.லக்ஷ்மணன்,வானதி பதிப்பகம்,1987
274,சுவர்ணமுகி,வேணுகோபாலன்,பூம்புகார் பதிப்பகம் ,1997
275,திருவரங்கன் உலா - 1,வேணுகோபாலன் ,லக்ஷ்மி ஸ்ரீ பதிப்பகம்,2004
276,திருவரங்கன் உலா - 2,வேணுகோபாலன் ,லக்ஷ்மி ஸ்ரீ பதிப்பகம்,2004
277,திருவரங்கன் உலா - 3,வேணுகோபாலன் ,லக்ஷ்மி ஸ்ரீ பதிப்பகம்,2001
278,திருவரங்கன் உலா - 4,வேணுகோபாலன் ,லக்ஷ்மி ஸ்ரீ பதிப்பகம்,2001
279,மன்மத பாண்டியன்,வேணுகோபாலன்,பூம்புகார் பதிப்பகம் ,1998
280,மோகவல்லி தூது,வேணுகோபாலன்,பூம்புகார் பதிப்பகம் ,1998
281,மோகினி திருக்கோலம்,வேணுகோபாலன்,லக்ஷ்மி ஸ்ரீ பதிப்பகம்,2003
282,செம்பியர் திலகம் - 1,ஜி.ஏ.வடிவேலு,பூம்புகார் பதிப்பகம் ,2002
283,செம்பியர் திலகம் - 2,ஜி.ஏ.வடிவேலு,பூம்புகார் பதிப்பகம் ,2002
284,திருச்சிற்றம்பலம்,ஜெகசிற்பியன்,வானதி பதிப்பகம்,2001
285,நந்தி வர்மன் காதலி,ஜெகசிற்பியன்,வானதி பதிப்பகம்,1998
286,நாயகி நற்சேனை,ஜெகசிற்பியன்,வானதி பதிப்பகம்,2002
287,பத்தினி கோட்டம் - 1,ஜெகசிற்பியன்,வானதி பதிப்பகம்,2003
288,பத்தினி கோட்டம் - 2,ஜெகசிற்பியன்,வானதி பதிப்பகம்,2003
289,பத்தினி கோட்டம் - 1,ஜெகசிற்பியன்,வானதி பதிப்பகம்,2014
290,பத்தினி கோட்டம் - 2,ஜெகசிற்பியன்,வானதி பதிப்பகம்,2014
291,மகரயாழ் மங்கை,ஜெகசிற்பியன்,வானதி பதிப்பகம்,2002
292,போரும் பாவையும் ,,புக்ஸெண்டர்,1968
293,சிற்பியின் கனவு ,தே.ப.பெருமாள்,அம்பிகா பதிப்பகம்,1999
294,மஞ்சள் புறா ,மதுரா ,கங்கை புத்தகநிலையம்,2004
295,காவிரி மைந்தன் - 1,அனுஷா வெங்கடேஷ் ,அவென்யூ பிரஸ்,2006
